Hour,Humans,Zombies,Corpses,Players
0,69,1,0,70
1,69,1,0,70
2,68,2,0,70
3,68,2,0,70
4,68,2,0,70
5,68,2,0,70
6,68,2,0,70
7,68,2,0,70
8,68,2,0,70
9,68,2,0,70
10,68,2,0,70
11,68,2,0,70
12,68,2,0,70
13,68,2,0,70
14,68,2,0,70
15,68,2,0,70
16,68,2,0,70
17,67,3,0,70
18,67,3,0,70
19,66,4,0,70
20,65,5,0,70
21,58,12,0,70
22,54,18,0,72
23,52,20,0,72
24,50,22,0,72
25,50,22,0,72
26,50,22,0,72
27,49,23,0,72
28,36,36,0,72
29,35,37,0,72
30,35,37,0,72
31,35,37,0,72
32,35,37,0,72
33,35,37,0,72
34,35,37,0,72
35,35,37,0,72
36,35,37,0,72
37,35,37,0,72
38,34,38,0,72
39,34,38,0,72
40,28,44,0,72
41,26,46,0,72
42,23,49,0,72
43,19,53,0,72
44,18,54,0,72
45,16,56,0,72
46,15,57,0,72
47,15,57,0,72
48,15,57,0,72
49,14,58,0,72
50,13,59,0,72
51,13,59,0,72
52,13,59,0,72
53,13,59,0,72
54,13,59,0,72
55,13,59,0,72
56,13,59,0,72
57,13,59,0,72
58,13,59,0,72
59,13,59,0,72
60,13,59,0,72
61,13,59,0,72
62,13,59,0,72
63,12,60,0,72
64,12,60,0,72
65,12,60,0,72
66,12,60,0,72
67,12,60,0,72
68,12,60,0,72
69,12,58,2,72
70,12,56,4,72
71,12,55,5,72
72,12,53,7,72
73,12,53,7,72
74,12,53,7,72
75,24,41,7,72
76,24,28,20,72
77,24,27,21,72
78,24,27,21,72
79,24,27,21,72
80,24,27,21,72
81,24,27,21,72
82,24,27,21,72
83,24,27,21,72
84,24,27,21,72
85,24,27,21,72
86,23,26,23,72
87,23,26,23,72
88,22,20,30,72
89,18,22,32,72
90,16,22,34,72
91,15,19,38,72
92,15,18,39,72
93,14,17,41,72
94,14,15,43,72
95,14,15,43,72
96,14,15,43,72
97,14,14,44,72
98,14,13,45,72
99,14,13,45,72
100,14,13,45,72
101,14,13,45,72
102,14,13,45,72
103,14,13,45,72
104,14,13,45,72
105,14,13,45,72
106,14,13,45,72
107,14,13,45,72
108,14,13,45,72
109,14,13,45,72
110,14,13,45,72
111,14,13,45,72
112,14,13,45,72
113,13,14,45,72
114,13,14,45,72
115,13,14,45,72
116,13,14,45,72
117,13,14,45,72
118,13,14,45,72
119,13,14,45,72
120,13,13,46,72
121,13,13,46,72
122,13,13,46,72
123,13,13,46,72
124,13,13,46,72
125,13,13,46,72
126,13,13,46,72
127,13,13,46,72
128,13,13,46,72
129,13,13,46,72
130,13,13,46,72
131,13,13,46,72
132,13,13,46,72
133,13,13,46,72
134,13,12,47,72
135,13,12,47,72
136,13,10,49,72
137,13,8,51,72
138,13,6,53,72
139,13,4,55,72
140,13,3,56,72
141,12,4,56,72
142,12,4,56,72
143,12,4,56,72
144,12,4,56,72
145,12,4,56,72
146,12,4,56,72
147,12,4,56,72
148,12,4,56,72
149,12,4,56,72
150,12,4,56,72
151,12,4,56,72
152,12,4,56,72
153,12,4,56,72
154,12,4,56,72
155,12,4,56,72
156,12,4,56,72
157,12,4,56,72
158,12,4,56,72
159,12,4,56,72
160,12,4,56,72
161,12,4,56,72
162,12,4,56,72
163,12,4,56,72
164,9,7,56,72
