yearSince1880,globalTemp
0,13.5
1,13.53
2,13.62
3,13.6
4,13.32
5,13.47
6,13.33
7,13.26
8,13.49
9,13.74
10,13.39
11,13.38
12,13.48
13,13.45
14,13.55
15,13.63
16,13.68
17,13.76
18,13.6
19,13.68
20,13.85
21,13.86
22,13.63
23,13.57
24,13.46
25,13.63
26,13.74
27,13.45
28,13.6
29,13.58
30,13.65
31,13.62
32,13.64
33,13.66
34,13.92
35,13.92
36,13.69
37,13.48
38,13.57
39,13.82
40,13.72
41,13.84
42,13.75
43,13.74
44,13.78
45,13.73
46,13.95
47,13.8
48,13.88
49,13.65
50,13.83
51,13.9
52,13.88
53,13.76
54,13.9
55,13.77
56,13.9
57,13.99
58,14.05
59,13.89
60,14.07
61,14.03
62,14.05
63,14
64,14.04
65,13.91
66,13.92
67,14.05
68,13.91
69,13.87
70,13.76
71,13.92
72,13.97
73,14.06
74,13.87
75,13.89
76,13.77
77,14.04
78,14.05
79,14.04
80,13.97
81,14.08
82,14.01
83,14.01
84,13.74
85,13.83
86,13.93
87,13.98
88,13.9
89,14
90,14.07
91,13.93
92,13.98
93,14.22
94,13.97
95,14.03
96,13.83
97,14.22
98,14.14
99,14.21
100,14.35
101,14.44
102,14.14
103,14.4
104,14.23
105,14.22
106,14.26
107,14.42
108,14.51
109,14.39
110,14.53
111,14.53
112,14.24
113,14.28
114,14.39
115,14.57
116,14.49
117,14.55
118,14.86
119,14.62
120,14.6
121,14.71
122,14.82
123,14.8
124,14.71
125,14.9
126,14.8
127,14.88
128,14.68
129,14.82
130,14.96
131,14.82
132,14.79
133,14.84
134,14.9
