time	value	run
 0.000	11.000	 1.000
 0.100	 0.440	 1.000
 0.200	 0.575	 1.000
 0.300	 0.743	 1.000
 0.400	 0.944	 1.000
 0.500	 1.177	 1.000
 0.600	 1.434	 1.000
 0.700	 1.703	 1.000
 0.800	 1.968	 1.000
 0.900	 2.212	 1.000
 1.000	 2.421	 1.000
 1.100	 2.589	 1.000
 1.200	 2.717	 1.000
 1.300	 2.809	 1.000
 1.400	 2.874	 1.000
 1.500	 2.917	 1.000
 1.600	 2.946	 1.000
 1.700	 2.965	 1.000
 1.800	 2.978	 1.000
 1.900	 2.986	 1.000
 2.000	 2.991	 1.000
 2.100	 2.994	 1.000
 2.200	 2.996	 1.000
 2.300	 2.998	 1.000
 2.400	 2.998	 1.000
 2.500	 2.999	 1.000
 2.600	 2.999	 1.000
 2.700	 3.000	 1.000
 2.800	 3.000	 1.000
 2.900	 3.000	 1.000
 3.000	 3.000	 1.000
 3.100	 3.000	 1.000
 3.200	 3.000	 1.000
 3.300	 3.000	 1.000
 3.400	 3.000	 1.000
 3.500	 3.000	 1.000
 3.600	 3.000	 1.000
 3.700	 3.000	 1.000
 3.800	 3.000	 1.000
 3.900	 3.000	 1.000
 4.000	 3.000	 1.000
 4.100	 3.000	 1.000
 4.200	 3.000	 1.000
 4.300	 3.000	 1.000
 4.400	 3.000	 1.000
 4.500	 3.000	 1.000
 4.600	 3.000	 1.000
 4.700	 3.000	 1.000
 4.800	 3.000	 1.000
 4.900	 3.000	 1.000
