time	value	variableName	run
0.00	  1.000	V	1
0.00	  3.000	P	1
0.05	  1.025	V	1
0.05	  2.857	P	1
0.10	  1.054	V	1
0.10	  2.722	P	1
0.15	  1.088	V	1
0.15	  2.593	P	1
0.20	  1.126	V	1
0.20	  2.470	P	1
0.25	  1.169	V	1
0.25	  2.354	P	1
0.30	  1.217	V	1
0.30	  2.243	P	1
0.35	  1.271	V	1
0.35	  2.138	P	1
0.40	  1.330	V	1
0.40	  2.038	P	1
0.45	  1.395	V	1
0.45	  1.943	P	1
0.50	  1.467	V	1
0.50	  1.852	P	1
0.55	  1.546	V	1
0.55	  1.766	P	1
0.60	  1.632	V	1
0.60	  1.685	P	1
0.65	  1.727	V	1
0.65	  1.607	P	1
0.70	  1.830	V	1
0.70	  1.534	P	1
0.75	  1.943	V	1
0.75	  1.464	P	1
0.80	  2.066	V	1
0.80	  1.398	P	1
0.85	  2.200	V	1
0.85	  1.336	P	1
0.90	  2.347	V	1
0.90	  1.276	P	1
0.95	  2.507	V	1
0.95	  1.220	P	1
1.00	  2.681	V	1
1.00	  1.166	P	1
1.05	  2.871	V	1
1.05	  1.116	P	1
1.10	  3.078	V	1
1.10	  1.068	P	1
1.15	  3.303	V	1
1.15	  1.023	P	1
1.20	  3.549	V	1
1.20	  0.980	P	1
1.25	  3.817	V	1
1.25	  0.940	P	1
1.30	  4.109	V	1
1.30	  0.902	P	1
1.35	  4.427	V	1
1.35	  0.866	P	1
1.40	  4.774	V	1
1.40	  0.832	P	1
1.45	  5.152	V	1
1.45	  0.801	P	1
1.50	  5.564	V	1
1.50	  0.771	P	1
1.55	  6.014	V	1
1.55	  0.743	P	1
1.60	  6.503	V	1
1.60	  0.717	P	1
1.65	  7.037	V	1
1.65	  0.693	P	1
1.70	  7.619	V	1
1.70	  0.671	P	1
1.75	  8.253	V	1
1.75	  0.650	P	1
1.80	  8.944	V	1
1.80	  0.631	P	1
1.85	  9.698	V	1
1.85	  0.613	P	1
1.90	 10.519	V	1
1.90	  0.597	P	1
1.95	 11.413	V	1
1.95	  0.583	P	1
2.00	 12.388	V	1
2.00	  0.571	P	1
2.05	 13.450	V	1
2.05	  0.560	P	1
2.10	 14.607	V	1
2.10	  0.551	P	1
2.15	 15.867	V	1
2.15	  0.543	P	1
2.20	 17.238	V	1
2.20	  0.538	P	1
2.25	 18.730	V	1
2.25	  0.534	P	1
2.30	 20.353	V	1
2.30	  0.532	P	1
2.35	 22.117	V	1
2.35	  0.533	P	1
2.40	 24.034	V	1
2.40	  0.536	P	1
2.45	 26.116	V	1
2.45	  0.541	P	1
2.50	 28.374	V	1
2.50	  0.549	P	1
2.55	 30.822	V	1
2.55	  0.561	P	1
2.60	 33.472	V	1
2.60	  0.576	P	1
2.65	 36.338	V	1
2.65	  0.595	P	1
2.70	 39.431	V	1
2.70	  0.620	P	1
2.75	 42.763	V	1
2.75	  0.650	P	1
2.80	 46.345	V	1
2.80	  0.687	P	1
2.85	 50.183	V	1
2.85	  0.732	P	1
2.90	 54.283	V	1
2.90	  0.787	P	1
2.95	 58.643	V	1
2.95	  0.855	P	1
3.00	 63.255	V	1
3.00	  0.937	P	1
3.05	 68.098	V	1
3.05	  1.039	P	1
3.10	 73.140	V	1
3.10	  1.163	P	1
3.15	 78.327	V	1
3.15	  1.318	P	1
3.20	 83.578	V	1
3.20	  1.510	P	1
3.25	 88.781	V	1
3.25	  1.750	P	1
3.30	 93.774	V	1
3.30	  2.051	P	1
3.35	 98.343	V	1
3.35	  2.430	P	1
3.40	102.204	V	1
3.40	  2.905	P	1
3.45	105.001	V	1
3.45	  3.502	P	1
3.50	106.307	V	1
3.50	  4.247	P	1
3.55	105.651	V	1
3.55	  5.163	P	1
3.60	102.580	V	1
3.60	  6.269	P	1
3.65	 96.762	V	1
3.65	  7.563	P	1
3.70	 88.144	V	1
3.70	  9.014	P	1
3.75	 77.095	V	1
3.75	 10.550	P	1
3.80	 64.472	V	1
3.80	 12.055	P	1
3.85	 51.488	V	1
3.85	 13.396	P	1
3.90	 39.394	V	1
3.90	 14.450	P	1
3.95	 29.102	V	1
3.95	 15.151	P	1
4.00	 20.989	V	1
4.00	 15.496	P	1
4.05	 14.957	V	1
4.05	 15.534	P	1
4.10	 10.644	V	1
4.10	 15.338	P	1
4.15	  7.627	V	1
4.15	 14.979	P	1
4.20	  5.534	V	1
4.20	 14.516	P	1
4.25	  4.079	V	1
4.25	 13.991	P	1
4.30	  3.060	V	1
4.30	 13.434	P	1
4.35	  2.338	V	1
4.35	 12.865	P	1
4.40	  1.820	V	1
4.40	 12.297	P	1
4.45	  1.443	V	1
4.45	 11.738	P	1
4.50	  1.163	V	1
4.50	 11.194	P	1
4.55	  0.954	V	1
4.55	 10.667	P	1
4.60	  0.795	V	1
4.60	 10.159	P	1
4.65	  0.673	V	1
4.65	  9.671	P	1
4.70	  0.577	V	1
4.70	  9.204	P	1
4.75	  0.502	V	1
4.75	  8.757	P	1
4.80	  0.443	V	1
4.80	  8.330	P	1
4.85	  0.395	V	1
4.85	  7.923	P	1
4.90	  0.356	V	1
4.90	  7.534	P	1
4.95	  0.324	V	1
4.95	  7.164	P	1
5.00	  0.299	V	1
5.00	  6.812	P	1
5.05	  0.278	V	1
5.05	  6.476	P	1
5.10	  0.261	V	1
5.10	  6.157	P	1
5.15	  0.247	V	1
5.15	  5.853	P	1
5.20	  0.235	V	1
5.20	  5.564	P	1
5.25	  0.226	V	1
5.25	  5.289	P	1
5.30	  0.219	V	1
5.30	  5.028	P	1
5.35	  0.213	V	1
5.35	  4.779	P	1
5.40	  0.209	V	1
5.40	  4.543	P	1
5.45	  0.206	V	1
5.45	  4.318	P	1
5.50	  0.204	V	1
5.50	  4.104	P	1
5.55	  0.204	V	1
5.55	  3.901	P	1
5.60	  0.204	V	1
5.60	  3.708	P	1
5.65	  0.206	V	1
5.65	  3.525	P	1
